Trying solvers:
	uppsatIJCAR (scala uppsat.jar -a=0)
	uppsatNew (scala uppsat.jar -a=1)
<--- RESULTS --->
Status	uppsatIJCAR	uppsatNew		Filename
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin.c.25.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin.c.75.smt2, -, -
sat, -, 52.020515, t/o, 7, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sine.1.0.i.smt2, sat, -
unsat, unsat, 2.0819688, 1.9201814, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/sine.2.0.i.smt2, unsat, unsat
unsat, unsat, 1.9215838, 1.9137671, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/sine.3.0.i.smt2, unsat, unsat
unsat, unsat, 1.9111109, 2.0040061, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/sine.4.0.i.smt2, unsat, unsat
unsat, unsat, 1.9227934, 1.9220096, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/sine.5.0.i.smt2, unsat, unsat
unsat, unsat, 1.9155179, 1.9145163, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/sine.6.0.i.smt2, unsat, unsat
unsat, unsat, 1.9095925, 2.129803, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/sine.7.0.i.smt2, unsat, unsat
unsat, unsat, 1.9222062, 1.9132922, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/sine.8.0.i.smt2, unsat, unsat
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.10.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.15.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.20.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.25.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.2.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.5.smt2, -, -
unsat, unsat, 6.388985, 6.004194, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.1.0.i.smt2, unsat, unsat
unsat, unsat, 5.678387, 5.6576343, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.2.0.i.smt2, unsat, unsat
unsat, unsat, 6.352758, 5.8500566, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.3.0.i.smt2, unsat, unsat
unsat, unsat, 5.6788263, 5.6875114, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.4.0.i.smt2, unsat, unsat
unsat, unsat, 5.7710924, 5.628858, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.5.0.i.smt2, unsat, unsat
unsat, unsat, 5.982681, 6.045066, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.6.0.i.smt2, unsat, unsat
unsat, unsat, 5.6756015, 6.1480126, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.7.0.i.smt2, unsat, unsat
unsat, unsat, 5.7393913, 5.7281013, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.8.0.i.smt2, unsat, unsat
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/square_and_power_inverse.smt2, -, -
unsat, unsat, 1.7041863, 1.7530392, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/square.smt2, unsat, unsat
sat, -, 22.770237, t/o, 7, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr10_c1_s14052.smt2, sat, -
-, sat, t/o, 2.7591913, -, 1,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr10_c1_s24300.smt2, -, sat
sat, -, 47.922466, t/o, 7, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr10_c1_s29304.smt2, sat, -
sat, -, 19.078253, t/o, 7, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr1_c1_s10392.smt2, sat, -
unsat, unsat, 28.260918, 28.462416, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr1_c1_s5578.smt2, unsat, unsat
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr1_c1_s6731.smt2, -, -
sat, -, 21.791525, t/o, 7, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr5_c1_s16641.smt2, sat, -
sat, -, 18.24099, t/o, 7, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr5_c1_s16867.smt2, sat, -
sat, -, 34.20606, t/o, 7, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr5_c1_s26769.smt2, sat, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr10_c1_s18214.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr10_c1_s4660.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr10_c1_s5590.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr1_c1_s20372.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr1_c1_s23752.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr1_c1_s733.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s10746.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s1507.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s8257.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s15708.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s21502.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s7608.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s13516.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s19145.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s32538.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr5_c1_s13195.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr5_c1_s13679.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr5_c1_s8690.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr10_c1_s11127.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr10_c1_s14516.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr10_c1_s25268.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r15_vr1_c1_s26845.smt2, -, -
