,Summary,,,,,,,,,,uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),,,,,,,,,,,,,
Sat,78,,,,,,,,,,50,52,40,52,49,44,48,45,42,,,,,,,,,,,,,
Unsat,56,,,,,,,,,,36,38,17,35,20,5,17,31,19,,,,,,,,,,,,,
,5.3604651163,,,,,,,,,,5.3604651163,-,4.8596491228,4.3563218391,3.347826087,-,2.8307692308,-,2.7868852459,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Status,uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),,,,,,,,,,Filename,Sat,Unsat,Unknown
,sat,sat,sat,-,sat,sat,sat,sat,-,sat,9.032314,32.558,t/o,8.32393,6.5711102,0.344,20.862078,t/o,4.95994,2,-,-,2,1,-,3,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.30.smt2,0,14,4
,sat,sat,sat,sat,-,sat,sat,sat,sat,sat,4.04273,0.556,3.334008,t/o,0.76570415,0.008,0.97490495,1.82,1.806077,7,-,5,-,1,-,1,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.3.smt2,0,16,2
,sat,sat,-,sat,sat,sat,-,-,-,sat,11.717224,t/o,20.895195,11.8697405,17.684536,t/o,t/o,t/o,39.391308,2,-,3,2,2,-,-,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.40.smt2,0,10,8
,sat,sat,-,-,sat,sat,sat,sat,-,sat,15.917483,t/o,t/o,19.156641,11.323126,0.82,7.475004,t/o,10.331378,2,-,-,3,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.50.smt2,0,12,6
,unsat,unsat,-,-,unsat,-,-,-,-,-,3.8720555,t/o,t/o,3.9561026,t/o,t/o,t/o,t/o,t/o,6,-,-,6,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.1.1.i.smt2,4,0,14
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.1.2.i.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.1.3.i.smt2,0,0,18
,unsat,unsat,-,-,unsat,-,-,-,-,-,4.404667,t/o,t/o,4.467767,t/o,t/o,t/o,t/o,t/o,6,-,-,6,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.2.1.i.smt2,4,0,14
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.2.2.i.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.2.3.i.smt2,0,0,18
