Trying solvers:
	z3 (z3 -smt2 -st)
	MathSat (mathsat -stats)
	ACDCL (mathsat -stats -theory.fp.mode=2)
<--- RESULTS --->
	 Time, Iterations, Answer
File	z3, MathSat, ACDCL, z3, MathSat, ACDCL, z3, MathSat, ACDCL
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.4.3.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.5.1.i.smt2, 57.36, 55.975, 0.708, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.5.2.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.5.3.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.6.1.i.smt2, 12.07, 42.119, 0.036, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.6.2.i.smt2, 96.2, 96.122, 49.299, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.6.3.i.smt2, 236.29, 119.527, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.7.1.i.smt2, 13.0, 48.663, 0.148, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.7.2.i.smt2, 31.7, 51.427, 14.401, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.7.3.i.smt2, 68.56, 62.028, 0.428, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.8.1.i.smt2, 15.69, 24.146, 0.084, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.8.2.i.smt2, 30.16, 31.738, 464.797, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.8.3.i.smt2, 80.37, 41.935, 626.163, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/pow5.smt2, t/o, t/o, 1.068, -, -, -, -, -, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.10.smt2, 109.07, 78.521, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.15.smt2, 3.27, 0.008, 0.008, -, -, -, unsat, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.2.smt2, 29.86, 63.876, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.20.smt2, t/o, 0.012, 0.012, -, -, -, -, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.25.smt2, t/o, 0.012, 0.012, -, -, -, -, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.5.smt2, 61.39, 78.853, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin.c.125.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin.c.175.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin.c.25.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin.c.75.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.10.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.125.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.15.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.175.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.2.smt2, 30.71, 23.505, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.20.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.25.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.5.smt2, t/o, 454.212, t/o, -, -, -, -, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.75.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sine.1.0.i.smt2, 20.36, 142.865, 1.48, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sine.2.0.i.smt2, 88.29, 267.225, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sine.3.0.i.smt2, 106.65, 254.12, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sine.4.0.i.smt2, 70.79, 404.169, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sine.5.0.i.smt2, 85.48, 257.0, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sine.6.0.i.smt2, 108.36, 45.343, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sine.7.0.i.smt2, 86.97, 185.848, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sine.8.0.i.smt2, 66.31, 16.521, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.10.smt2, t/o, 1153.476, t/o, -, -, -, -, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.15.smt2, t/o, 1156.412, t/o, -, -, -, -, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.2.smt2, 152.3, 139.085, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.20.smt2, t/o, 297.935, t/o, -, -, -, -, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.25.smt2, t/o, 298.883, t/o, -, -, -, -, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sqrt.c.5.smt2, 947.89, 1147.352, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.1.0.i.smt2, 35.23, 7.6, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.2.0.i.smt2, 20.39, 12.697, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.3.0.i.smt2, 53.16, 17.897, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.4.0.i.smt2, 19.92, 7.576, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.5.0.i.smt2, 29.28, 9.869, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.6.0.i.smt2, 43.01, 53.919, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.7.0.i.smt2, 39.91, 7.548, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.8.0.i.smt2, 103.05, 8.289, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square.smt2, 0.28, 0.608, 994.418, -, -, -, unsat, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/square_and_power_inverse.smt2, 39.1, 730.682, 190.976, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr10_c1_s14052.smt2, 10.62, 1.432, 0.04, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr10_c1_s24300.smt2, 6.5, 8.345, 0.58, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr10_c1_s29304.smt2, 4.79, 2.356, 0.012, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr1_c1_s10392.smt2, 10.94, 3.1, 0.292, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr1_c1_s5578.smt2, 9.65, 3.476, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr1_c1_s6731.smt2, 23.85, 10.081, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr5_c1_s16641.smt2, 4.79, 1.996, 0.252, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr5_c1_s16867.smt2, 4.8, 1.452, 0.012, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r3_vr5_c1_s26769.smt2, 6.21, 1.404, 0.052, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr10_c1_s18214.smt2, 73.18, 46.111, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr10_c1_s4660.smt2, 82.34, 46.827, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr10_c1_s5590.smt2, 158.24, 46.635, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr1_c1_s20372.smt2, 14.14, 16.377, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr1_c1_s23752.smt2, 12.56, 15.173, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr1_c1_s733.smt2, 49.44, 37.818, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s10746.smt2, 91.04, 40.239, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s1507.smt2, 45.56, 22.605, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s8257.smt2, 46.23, 25.962, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s15708.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s21502.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s7608.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s13516.smt2, 305.2, 75.685, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s19145.smt2, 553.08, 508.792, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s32538.smt2, 441.87, 86.565, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr5_c1_s13195.smt2, 770.76, 185.016, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr5_c1_s13679.smt2, t/o, 791.469, t/o, -, -, -, -, sat, -
